Directory,Program,Semester,Course Name,Credits,Hours
pdf_curriculum_ai,10033-abit,1,семестр,15,540
pdf_curriculum_ai,10033-abit,1,Практика применения машинного обучения,6,216
pdf_curriculum_ai,10033-abit,1,Алгоритмы и структуры данных,3,108
pdf_curriculum_ai,10033-abit,1,Математическая статистика,3,108
pdf_curriculum_ai,10033-abit,1,Разработка веб-приложений (Python Backend),6,216
pdf_curriculum_ai,10033-abit,1,Программирование на С++,3,108
pdf_curriculum_ai,10033-abit,1,Введение в МО (Python) и Продвинутое МО (Python),3,108
pdf_curriculum_ai,10033-abit,1,Технологии обработки естественного языка,6,216
pdf_curriculum_ai,10033-abit,1,Автоматическое машинное обучение,3,108
pdf_curriculum_ai,10033-abit,1,Обработка и генерация изображений,3,108
pdf_curriculum_ai,10033-abit,1,Проектирование и разработка рекомендательных систем (продвинутый уровень),6,216
pdf_curriculum_ai,10033-abit,1,Основы глубокого обучения,3,108
pdf_curriculum_ai,10033-abit,1,Продвинутое МО (Python) и Глубокое обучение,3,108
pdf_curriculum_ai,10033-abit,1,Введение в большие языковые модели (LLM),3,108
pdf_curriculum_ai,10033-abit,1,Проектирование систем машинного обучения (ML System Design),6,216
pdf_curriculum_ai,10033-abit,1,Проектирование микросервисов,6,216
pdf_curriculum_ai,10033-abit,1,Хранение больших данных и Введение в МО (Python),3,108
pdf_curriculum_ai,10033-abit,1,Вычисления на графических процессорах (GPU),6,216
pdf_curriculum_ai,10033-abit,1,UNIX/Linux системы,3,108
pdf_curriculum_ai,10033-abit,1,Инструменты разработки data-driven решений,3,108
pdf_curriculum_ai,10033-abit,1,Контейнеризация и оркестрация приложений,3,108
pdf_curriculum_ai,10033-abit,1,Продуктовые исследования,3,108
pdf_curriculum_ai,10033-abit,1,Графические интерфейсы,3,108
pdf_curriculum_ai,10033-abit,1,Создание интеллектуальных агентов,6,216
pdf_curriculum_ai,10033-abit,1,Прикладной анализ временных рядов,3,108
pdf_curriculum_ai,10033-abit,1,Процессы и методологии разработки решений на основе ИИ,3,108
pdf_curriculum_ai,10033-abit,1,Инжиниринг управления данными,3,108
pdf_curriculum_ai,10033-abit,1,Бизнес-аналитика для инженеров,3,108
pdf_curriculum_ai,10033-abit,1,Математика для машинного обучения и анализа данных,3,108
pdf_curriculum_ai,10033-abit,1,Языки программирования,3,108
pdf_curriculum_ai,10033-abit,1,Основы машинного обучения,3,108
pdf_curriculum_ai,10033-abit,1,Инженерные практики в ML и анализе данных,6,216
pdf_curriculum_ai,10033-abit,1,Дополнительные разделы машинного обучения,3,108
pdf_curriculum_ai,10033-abit,1,Базы данных,3,108
pdf_curriculum_ai,10033-abit,2,семестр,12,432
pdf_curriculum_ai,10033-abit,2,Проектная практика,12,432
pdf_curriculum_ai,10033-abit,2,Научно-исследовательская практика,12,432
pdf_curriculum_ai,10033-abit,3,"семестры, онлайн)",0,0
pdf_curriculum_ai,10033-abit,3,Управление мотивацией,1,36
pdf_curriculum_ai,10033-abit,3,Инструменты принятия решений / Art & math of decision making,1,36
pdf_curriculum_ai,10033-abit,3,Медиация и урегулирование разногласий / Mediation and dispute resolutio,1,36
pdf_curriculum_ai,10033-abit,3,Развитие карьеры в современной профессиональной среде,1,36
pdf_curriculum_ai,10033-abit,3,Выступления для молодых ученых,1,36
pdf_curriculum_ai,10033-abit,3,Самопрезентация и питчинг,1,36
pdf_curriculum_ai,10033-abit,3,Современное лидерство,1,36
pdf_curriculum_ai,10033-abit,3,Межкультурная коммуникация,1,36
pdf_curriculum_ai,10033-abit,3,Работа в удаленных командах,1,36
pdf_curriculum_ai,10033-abit,3,Публичные выступления в онлайн-формате,1,36
pdf_curriculum_ai,10033-abit,3,Техники ответов на вопросы в публичных выступлениях,1,36
pdf_curriculum_ai,10033-abit,3,Публичные выступления в профессиональной деятельности / Pitches and speeches,1,36
pdf_curriculum_ai,10033-abit,3,Доказательный подход к управлению карьерой / Evidence-based approach to career management,1,36
pdf_curriculum_ai,10033-abit,3,Планирование и изменение карьерной траектории / Launching and relaunching your career,1,36
pdf_curriculum_ai,10033-abit,3,Основы публичных выступлений,1,36
pdf_curriculum_ai,10033-abit,3,Сторителлинг,1,36
pdf_curriculum_ai,10033-abit,3,Стратегии эффективных переговоров с работодателем,1,36
pdf_curriculum_ai,10033-abit,3,Управление стрессом / Stress management,1,36
pdf_curriculum_ai,10033-abit,3,Практики совместной работы и принятия решений,1,36
pdf_curriculum_ai,10033-abit,3,Сложная коммуникация,1,36
pdf_curriculum_ai,10033-abit,3,Основы финансовой грамотности,1,36
pdf_curriculum_ai,10033-abit,3,Целеполагание в современном мире,1,36
pdf_curriculum_ai,10033-abit,3,Управление стрессом и профилактика выгорания,1,36
pdf_curriculum_ai,10033-abit,3,Тайм-менеджмент,1,36
pdf_curriculum_ai,10033-abit,3,Управление конфликтами,1,36
pdf_curriculum_ai,10033-abit,3,Современная бизнес-коммуникация,1,36
pdf_curriculum_ai,10033-abit,3,Карьера в IT,1,36
pdf_curriculum_ai,10033-abit,3,Эмпатичная коммуникация / Empathetic communication,1,36
pdf_curriculum_ai,10033-abit,4,семестр,12,432
pdf_curriculum_ai,10033-abit,4,Проектная работа,12,432
pdf_curriculum_ai,10033-abit,4,Научно-исследовательская работа,12,432
pdf_curriculum_ai,10033-abit,4,. ГИА,6,216
