Directory,Program,Semester,Course Name,Credits,Hours
pdf_curriculum_ai_product,10130-abit,1,семестр,3,108
pdf_curriculum_ai_product,10130-abit,1,Английский язык в профессиональной деятельности / English for specific purposes,3,108
pdf_curriculum_ai_product,10130-abit,1,Русский язык как иностранный / Russian as a foreign language,3,108
pdf_curriculum_ai_product,10130-abit,1,. Практика,42,1512
pdf_curriculum_ai_product,10130-abit,1,Практика,42,1512
pdf_curriculum_ai_product,10130-abit,1,Преддипломная практика,6,216
pdf_curriculum_ai_product,10130-abit,1,"Производственная, преддипломная практика",6,216
pdf_curriculum_ai_product,10130-abit,1,Производственная практика,36,1296
pdf_curriculum_ai_product,10130-abit,1,"Производственная, технологическая (проектно-технологическая) практика",9,324
pdf_curriculum_ai_product,10130-abit,1,"Производственная, технологическая (проектно-технологическая) практика",9,324
pdf_curriculum_ai_product,10130-abit,1,"Производственная, технологическая (проектно-технологическая) практика",9,324
pdf_curriculum_ai_product,10130-abit,1,"Производственная, технологическая (проектно-технологическая) практика",9,324
pdf_curriculum_ai_product,10130-abit,1,. ГИА,6,216
pdf_curriculum_ai_product,10130-abit,1,Государственная итоговая аттестация,6,216
pdf_curriculum_ai_product,10130-abit,1,Подготовка к защите и защита ВКР,6,216
pdf_curriculum_ai_product,10130-abit,1,. Факультативные модули (дисциплины),0,0
pdf_curriculum_ai_product,10130-abit,1,Инклюзивный факультатив,0,0
pdf_curriculum_ai_product,10130-abit,1,Регуляция эмоционального состояния в профессиональной деятельности,3,108
pdf_curriculum_ai_product,10130-abit,2,семестр,3,108
pdf_curriculum_ai_product,10130-abit,2,Английский язык в профессиональной деятельности / English for specific purposes,3,108
pdf_curriculum_ai_product,10130-abit,2,Русский язык как иностранный / Russian as a foreign language,3,108
pdf_curriculum_ai_product,10130-abit,3,"семестры, онлайн)",0,0
pdf_curriculum_ai_product,10130-abit,3,Управление мотивацией,1,36
pdf_curriculum_ai_product,10130-abit,3,Инструменты принятия решений / Art & math of decision making,1,36
pdf_curriculum_ai_product,10130-abit,3,Медиация и урегулирование разногласий / Mediation and dispute resolutio,1,36
pdf_curriculum_ai_product,10130-abit,3,Развитие карьеры в современной профессиональной среде,1,36
pdf_curriculum_ai_product,10130-abit,3,Выступления для молодых ученых,1,36
pdf_curriculum_ai_product,10130-abit,3,Самопрезентация и питчинг,1,36
pdf_curriculum_ai_product,10130-abit,3,Современное лидерство,1,36
pdf_curriculum_ai_product,10130-abit,3,Межкультурная коммуникация,1,36
pdf_curriculum_ai_product,10130-abit,3,Работа в удаленных командах,1,36
pdf_curriculum_ai_product,10130-abit,3,Публичные выступления в онлайн-формате,1,36
pdf_curriculum_ai_product,10130-abit,3,Техники ответов на вопросы в публичных выступлениях,1,36
pdf_curriculum_ai_product,10130-abit,3,Публичные выступления в профессиональной деятельности / Pitches and speeches,1,36
pdf_curriculum_ai_product,10130-abit,3,Доказательный подход к управлению карьерой / Evidence-based approach to career management,1,36
pdf_curriculum_ai_product,10130-abit,3,Планирование и изменение карьерной траектории / Launching and relaunching your career,1,36
pdf_curriculum_ai_product,10130-abit,3,Основы публичных выступлений,1,36
pdf_curriculum_ai_product,10130-abit,3,Сторителлинг,1,36
pdf_curriculum_ai_product,10130-abit,3,Стратегии эффективных переговоров с работодателем,1,36
pdf_curriculum_ai_product,10130-abit,3,Управление стрессом / Stress management,1,36
pdf_curriculum_ai_product,10130-abit,3,Практики совместной работы и принятия решений,1,36
pdf_curriculum_ai_product,10130-abit,3,Сложная коммуникация,1,36
pdf_curriculum_ai_product,10130-abit,3,Основы финансовой грамотности,1,36
pdf_curriculum_ai_product,10130-abit,3,Целеполагание в современном мире,1,36
pdf_curriculum_ai_product,10130-abit,3,Управление стрессом и профилактика выгорания,1,36
pdf_curriculum_ai_product,10130-abit,3,Тайм-менеджмент,1,36
pdf_curriculum_ai_product,10130-abit,3,Управление конфликтами,1,36
pdf_curriculum_ai_product,10130-abit,3,Современная бизнес-коммуникация,1,36
pdf_curriculum_ai_product,10130-abit,3,Карьера в IT,1,36
pdf_curriculum_ai_product,10130-abit,3,Эмпатичная коммуникация / Empathetic communication,1,36
pdf_curriculum_ai_product,10130-abit,4,семестр,9,324
pdf_curriculum_ai_product,10130-abit,4,Бизнес-анализ,3,108
pdf_curriculum_ai_product,10130-abit,4,Практики менторства и развития в Data Science,3,108
pdf_curriculum_ai_product,10130-abit,4,Управление проектами в Data Science,3,108
pdf_curriculum_ai_product,10130-abit,4,Метрики и аналитика продукта,3,108
pdf_curriculum_ai_product,10130-abit,4,Управление продуктовым портфелем,3,108
pdf_curriculum_ai_product,10130-abit,4,Основы маркетинга для ИИ-продуктов,3,108
pdf_curriculum_ai_product,10130-abit,4,Управление командами и проектами в ИИ,3,108
pdf_curriculum_ai_product,10130-abit,4,Правовые аспекты разработки и использования ИИ,3,108
pdf_curriculum_ai_product,10130-abit,4,Фандрайзинг и бизнес-планирование,3,108
pdf_curriculum_ai_product,10130-abit,4,Универсальная (надпрофессиональная) подготовка,12,432
